Domain,Postings,Distinct Requisitions,EST,HIR,Databases Named,EST Evidence
amberstudent.com,0,0,EST? no postings,HIR? no postings,,
backmarket.com,19,8,EST● present,HIR● live,,"[monolith/legacy] ""neering work with clear KPIs Identify, assess, track and mitigate issues and risks at multiple levels Examples of projects you could / will manage: Monolith migration towards microservices Evolving our API Gateway Insure our new Authentication service is covering all the engineering needs Launch of our As"" || [monolith/legacy] ""Strong experience on public cloud providers (AWS / GCP) Broad knowledge &amp; understanding of Unix environment Strong K8s fluency Experience in both Monolithic &amp; SOA/Microservices environments Soft skills : Capacity to communicate with all profiles of ICs and various levels of management Feeling like a"""
blockchain.com,64,43,EST● present,HIR● live,Mysql;Postgresql,"[reliability/toil] ""designing and implementing changes. We are a team that places a high value on abstract thinking to deliver exceptionally effective tooling. We abhor toil. As a member of the Core team you will be tasked with developing an in-depth understanding of the infrastructure needs of our products. You will est"" || [reliability/toil] ""designing and implementing changes. We are a team that places a high value on abstract thinking to deliver exceptionally effective tooling. We abhor toil. As a member of the Core team you will be tasked with developing an in-depth understanding of the infrastructure needs of our products. You wil"""
cabify.com,27,23,EST● present,HIR● live,Elasticsearch;Mysql,"[reliability/toil] ""know your way around a few more or can learn them if the opportunity arises. - Automate yourself out of everything by nature, making machines do the toil. - Communicate effectively and asynchronously. - Care about the things that affect the company, your team, and yourself. - Embrace diversity and humb"" || [reliability/toil] ""know your way around a few more or can learn them if the opportunity arises. - Automate yourself out of everything by nature, making machines do the toil. - Communicate effectively and asynchronously. - Care about the things that affect the company, your team, and yourself. - Embrace diversity and humb"""
carta.com,49,34,EST● present,HIR● live,Mysql;Postgres;Postgresql;Snowflake,"[reliability/toil] ""n principles. - AI Fluency: You use AI tools in your own day-to-day work in addition to enabling others. You're comfortable building agents to reduce toil and expect this to be a normal part of how you operate. - Experience operating CI/CD and its associated best practices is also appreciated though not"" || [reliability/toil] ""n principles. - AI Fluency: You use AI tools in your own day-to-day work in addition to enabling others. You're comfortable building agents to reduce toil and expect this to be a normal part of how you operate. - Experience operating CI/CD and its associated best practices is also appreciated though not"""
civitatis.com,1,1,"EST⊗ absent, only 1 requisition(s)",HIR● live,,
cmtelematics.com,25,15,EST● present,HIR● live,Cassandra;Dynamodb;Mysql;Postgres;Postgresql,"[monolith/legacy] ""y and quality. - Risk Management: Proactively identify and mitigate technical risks, including security vulnerabilities, scalability constraints, and technical debt to ensure long-term platform stability. **Qualifications:** - Bachelor's or Master's degree in Computer Science, Electrical Engineering, or a relat"" || [re-architect] ""l developer platform initiatives. - Experience managing technical transitions such as monolith-to-microservices, cloud migration, or major data store rearchitecture. - Exposure to real-time data processing, streaming technologies (Kafka, Flink, Spark), or telemetry data pipelines. - Deep understanding of security"""
covergenius.com,28,14,EST● present,HIR● live,Bigquery;Dynamodb;Elasticsearch;Mysql;Postgres;Postgresql;Redis,"[cost pressure] ""AI-assisted development to infrastructure problems, and help build the tooling and practices that make the wider team more effective with it - Drive cloud cost optimisation at the organisational level - reserved capacity, right-sizing, FinOps practices **Skills & Experience** **What you will bring:** - 5+"" || [estate sprawl] ""ooling and practices that make the wider team more effective with it - Drive cloud cost optimisation at the organisational level - reserved capacity, right-sizing, FinOps practices **Skills & Experience** **What you will bring:** - 5+ years of experience in SRE, Platform Engineering, DevOps or other related r"""
csiweb.com,3,3,"EST⊗ absent, only 3 requisition(s)",HIR○ no live posting,,
docplanner.com,29,19,EST● present,HIR● live,Mariadb;Mongodb;Mssql;Mysql;Postgres;Postgresql;Redis,"[cost pressure] ""y step of our platform lifecycle - Ability to vigilantly understand and mitigate security threats before they arise - Optimize system scalability and cost efficiency - Development, monitoring, and maintenance of Kubernetes clusters on several continents. - CI / CD development and maintenance. - Make sure that all"" || [cost pressure] ""y step of our platform lifecycle - Ability to vigilantly understand and mitigate security threats before they arise - Optimize system scalability and cost efficiency - Development, monitoring, and maintenance of Kubernetes clusters on several continents. - CI / CD development and maintenance. - Make sure that all"""
