domain,company,field,current_value,corrected_value,score_75_current,score_75_corrected,tier_current,tier_corrected,evidence,retrieval_path,window
cabify.com,Cabify,est_mark,EST●,EST⊘,40.0,15.0,2,3,"Dated re-run retired the match: pain language predates the 12-month window",0926-est-hir-results-44-dated.csv,12 months to 2026-09-03
fabric.inc,Fabric,est_mark,EST●,EST⊘,25.0,0.0,3,UNSCORED,"Dated re-run retired the match: pain language predates the 12-month window",0926-est-hir-results-44-dated.csv,12 months to 2026-09-03
minted.com,Minted,est_mark,EST●,EST⊘,25.0,0.0,3,UNSCORED,"Dated re-run retired the match: pain language predates the 12-month window",0926-est-hir-results-44-dated.csv,12 months to 2026-09-03
teacherspayteachers.com,Teachers Pay Teachers,est_mark,EST●,EST⊗,45.0,20.0,2,3,"Dated re-run downgraded to thin evidence",0926-est-hir-results-44-dated.csv,12 months to 2026-09-03
vinted.com,Vinted,est_mark,EST●,EST○,40.0,15.0,2,3,"0 pain postings in 12m AND 0 all-time across 67 distinct requisitions from 108 postings. Strongest measured absence in the dataset. Prior EST● came from the superseded undated file where the match was tagged [reliability/toil] boilerplate.",0926-est-hir-results-44-dated.csv,12 months to 2026-09-03
alan.com,Alan,est_mark,EST●,EST○,40.0,15.0,2,3,"est_sentence is empty and est_retrieval reads 'roster hand-read pre-pull'. Alan is NOT in the 44-domain EST pull. Ran w2 pinned 9-term list against Alan's full P9 posting text (24714 chars, 2026-09-02): zero hits.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02
mollie.com,Mollie,est_mark+hir_mark,EST? / HIR?,EST○ / HIR●,0.0,15.0,UNSCORED,3,"Full posting text committed (4870 chars). Zero of the 9 pinned terms. Posting dated 2026-08-31 = 4 days old so HIR is live.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31
chrono24.com,Chrono24,est_mark+hir_mark,EST? / HIR?,EST○ / HIR●,0.0,15.0,UNSCORED,3,"Full posting text committed (3838 chars). Zero of the 9 pinned terms. Posting dated 2026-09-01.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-01
facile.it,Facile.it,est_mark+hir_mark,EST? / HIR?,EST○ / HIR●,0.0,15.0,UNSCORED,3,"Full posting text committed (5232 chars). Zero of the 9 pinned terms. Posting dated 2026-09-02. Names bare word 'database' only.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02
meilleurtaux.com,Meilleurtaux,est_mark+hir_mark,EST? / HIR?,EST○ / HIR●,0.0,15.0,UNSCORED,3,"Full posting text committed (6848 chars). Zero of the 9 pinned terms. Posting dated 2026-08-31. Names BigQuery.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31
origamirisk.com,Origami Risk,est_mark+hir_mark,EST? / HIR?,EST○ / HIR●,0.0,15.0,UNSCORED,3,"Full posting text committed (7011 chars). Zero of the 9 pinned terms. Posting dated 2026-09-02.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02
oeconnection.com,OEC,est_mark+hir_mark,EST? / HIR?,EST○ / HIR●,15.0,30.0,UNSCORED,3,"Full posting text committed (4398 chars). Zero of the 9 pinned terms. Posting dated 2026-08-31. MDB● already on file.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31
capitalontap.com,Capital on Tap,est_mark+hir_mark,EST? / HIR?,EST○ / HIR●,15.0,30.0,UNSCORED,3,"Full posting text committed (4911 chars). Zero of the 9 pinned terms. Posting dated 2026-09-02. MDB● already on file. CAPITAL-PATH: DEBT.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02
bondora.group,Bondora,ROW MISSING,not in master,add as review-bucket row,,,,REVIEW,"2008, 224 emp, Estonia, P2P lending marketplace. Funding stage returned 'Public' while ownership returned 'private', total funding blank. Blank = UNKNOWN not FAIL. Full P9 posting text 6105 chars, zero pinned terms, dated 2026-09-01, names Databricks. Costs 1 web-research credit to settle ownership.",0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-01
