Domain,Postings,Requisitions,Pain postings (12m),Pain postings (all time),EST,HIR,EST Evidence (dated)
amberstudent.com,0,0,0,0,EST? no postings,HIR? no postings,
backmarket.com,19,8,0,2,EST⊘ STALE — newest pain posting 2022-02-21,HIR● live,
blockchain.com,64,43,0,4,EST⊘ STALE — newest pain posting 2024-12-02,HIR● live,
cabify.com,27,23,0,3,EST⊘ STALE — newest pain posting 2022-02-10,HIR● live,
carta.com,49,34,0,0,EST○ absent across 34 requisitions,HIR● live,
civitatis.com,1,1,0,0,"EST⊗ absent, only 1 requisition(s)",HIR● live,
cmtelematics.com,25,15,3,3,EST● present (in window),HIR● live,"2026-03-29 | nt: Proactively identify and mitigate technical risks, including security vulnerabilities, scalability constraints, and technical debt to ensure long-term platform stability. **Qualifications:** - Bachelor's or Master's degree in Computer Science, Elec"
covergenius.com,28,14,1,1,EST● present (in window),HIR● live,"2026-08-06 | frastructure problems, and help build the tooling and practices that make the wider team more effective with it - Drive cloud cost optimisation at the organisational level - reserved capacity, right-sizing, FinOps practices **Skills & Experience** *"
csiweb.com,3,3,0,0,"EST⊗ absent, only 3 requisition(s)",HIR○ no posting in 90d,
docplanner.com,29,19,10,14,EST● present (in window),HIR● live,"2026-08-23 | le - Ability to vigilantly understand and mitigate security threats before they arise - Optimize system scalability and cost efficiency - Development, monitoring, and maintenance of Kubernetes clusters on several continents. - CI / CD development and main"
eisgroup.com,23,20,0,0,EST○ absent across 20 requisitions,HIR○ no posting in 90d,
entrata.com,20,18,2,4,EST● present (in window),HIR○ no posting in 90d,2026-05-05 | es and managing incident response for high-availability applications - Knowledge of serverless architectures and AWS cost optimization strategies - Hands-on experience with compliance and governance automation for cloud security - Previous experien
esw.com,22,14,2,3,EST● present (in window),HIR○ no posting in 90d,"2026-04-30 | and event-driven systems. - Lead design reviews and establish engineering guardrails. - Reduce platform complexity and technical debt. - Sponsor strategic technical initiatives (modernization, migrations, refactoring). - Ensure secure and scalable patte"
ezcater.com,21,21,11,16,EST● present (in window),HIR● live,"2026-07-28 | line that feeds it, and the availability services that determine which restaurants can fulfill an order. We’re actively replatforming search, and this role will help strengthen the team while guiding the architecture, delivery, and operational maturity"
fabric.inc,4,3,0,1,EST⊘ STALE — newest pain posting 2023-03-25,HIR○ no posting in 90d,
fareye.com,1,1,0,0,"EST⊗ absent, only 1 requisition(s)",HIR○ no posting in 90d,
fleetio.com,20,18,0,0,EST○ absent across 18 requisitions,HIR● live,
hotelengine.com,4,3,0,0,"EST⊗ absent, only 3 requisition(s)",HIR○ no posting in 90d,
housecallpro.com,106,76,36,56,EST● present (in window),HIR● live,"2026-08-14 | ad or sponsor key platform initiatives such as API gateway evolution, authentication/authorization integrations, system decomposition - Mentor and coach engineers on API design, distributed systems and platform thinking - help grow senior talent around"
icapital.com,2,1,0,0,"EST⊗ absent, only 1 requisition(s)",HIR○ no posting in 90d,
id.me,85,73,7,12,EST● present (in window),HIR● live,2026-07-29 | experience operating at this scale and leading infrastructure through significant transformation—especially moving from monoliths to scalable microservices and platform/API architectures. Our current team is shifting from reactive support to p
italki.com,0,0,0,0,EST? no postings,HIR? no postings,
itilite.com,0,0,0,0,EST? no postings,HIR? no postings,
jobandtalent.com,1,1,0,0,"EST⊗ absent, only 1 requisition(s)",HIR○ no posting in 90d,
metropolis.io,22,16,5,5,EST● present (in window),HIR● live,"2026-09-03 | will architect, scale, and maintain highly resilient environments across multiple products while driving infrastructure modernization and legacy system integrations. The ideal candidate combines deep technical mastery of modern cloud-native systems with"
minted.com,16,14,0,5,EST⊘ STALE — newest pain posting 2024-08-25,HIR○ no posting in 90d,
netradyne.com,8,6,0,1,EST⊘ STALE — newest pain posting 2024-03-27,HIR● live,
offerup.com,3,2,3,3,EST● present (in window),HIR● live,"2026-08-11 | diate CVEs, manage secrets and access controls (Cloudflare/ZTNA, Okta, SSO, Workload Identity Federation), and optimize cloud cost. - **Multiply the team** — enable AI/ML developer tooling (Amazon Bedrock, Claude, AI-assisted workflows), lead desig"
peopleperhour.com,0,0,0,0,EST? no postings,HIR? no postings,
pushpay.com,61,40,4,4,EST● present (in window),HIR● live,2026-08-08 | r Tech Stack** - Build high-throughput services in .NET 8 (microservices) alongside a battle-tested .NET Framework 4.8 monolith processing billions in giving - Design event-driven pipelines with Kinesis and RabbitMQ that bridge legacy and modern d
relexsolutions.com,45,36,1,2,EST● present (in window),HIR○ no posting in 90d,2025-11-04 | n infrastructure automation while improving reliability and scalability - Drive next-generation Data Center projects by modernizing private cloud architecture and automating server lifecycle workflows. - Creating and solving Incident and Management ti
rgigroup.com,0,0,0,0,EST? no postings,HIR? no postings,
ridezum.com,0,0,0,0,EST? no postings,HIR? no postings,
sayweee.com,0,0,0,0,EST? no postings,HIR? no postings,
shiftkey.com,10,9,7,9,EST● present (in window),HIR○ no posting in 90d,"2026-04-15 | at standard while executing a migration to a new AWS region. This role blends hands-on maintenance work (reducing tech debt, improving deployments, strengthening observability) with engineering and automation that makes the platform easier to"
sitly.nl,0,0,0,0,EST? no postings,HIR? no postings,
sureapp.com,0,0,0,0,EST? no postings,HIR? no postings,
teacherspayteachers.com,4,4,0,0,"EST⊗ absent, only 4 requisition(s)",HIR○ no posting in 90d,
vinted.com,108,67,0,0,EST○ absent across 67 requisitions,HIR● live,
wallapop.com,3,1,0,0,"EST⊗ absent, only 1 requisition(s)",HIR● live,
workrise.com,15,13,0,0,EST○ absent across 13 requisitions,HIR○ no posting in 90d,
zeta.tech,6,6,1,1,EST● present (in window),HIR○ no posting in 90d,"2026-02-13 | tartup (& a unicorn!) founded in 2015 by two visionary leaders Bhavin Turakhia & Ramki Gaddipati, whose entrepreneurial legacy & excellence has put us on top of the global fintech ecosystem. Zeta counts amongst its customers, over 10 banks and 25"
zinnia.com,42,28,2,2,EST● present (in window),HIR○ no posting in 90d,"2026-01-09 | cient platforms. The ideal candidate will have deep hands-on knowledge of AWS architecture, infrastructure-as-code, and cloud cost management, as well as strong problem-solving skills to resolve complex technical challenges. **WHAT YOU'LL DO:** - P"
zuora.com,52,38,14,18,EST● present (in window),HIR● live,"2026-08-01 | mplement best practices for logging, metrics, tracing, and alerting across distributed systems. - Drive initiatives for cost optimization, performance tuning, and system hardening. - Participate in on-call rotations and incident management. Your experience"
