domain,est_mark,est_date,est_sentence,hir_mark,postings_12m,infra_postings_12m,live_infra_90d,mdb_mark,mdb_evidence,est_retrieval,est_window
agicap.com,EST○,,measured absent across full description text of 7 postings,HIR○,7,7,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
arbitersports.com,EST○,,measured absent across full description text of 4 postings,HIR●,4,4,4,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
arisglobal.com,EST○,,measured absent across full description text of 1 postings,HIR●,1,1,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
birchstreetsystems.com,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
curvedental.com,EST○,,measured absent across full description text of 5 postings,HIR●,5,5,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
dealersocket.com,EST○,,measured absent across full description text of 4 postings,HIR●,4,4,2,MDB?,MongoDB named only as a candidate requirement / nice-to-have - not estate,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
dutchie.com,EST○,,measured absent across full description text of 7 postings,HIR○,7,7,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
ecp123.com,EST●,2026-08-27,"We're migrating off a ColdFusion legacy platform, and the two will coexist for a while. | SQL Server and PostgreSQL, a mix of monolith and services",HIR●,12,12,7,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
emburse.com,EST○,,measured absent across full description text of 22 postings,HIR●,22,18,6,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
fieldpulse.com,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
filevine.com,EST●,2026-01-06,"ensure our migration from legacy systems is seamless | work directly with our Lead Architect to replace a legacy system with a modern, scalable solution",HIR●,45,34,12,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
fireblocks.com,EST○,,measured absent across full description text of 57 postings,HIR●,57,35,4,MDB?,MongoDB named only as a candidate requirement / nice-to-have - not estate,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
fresha.com,EST●,2026-08-15,We are in the process of switching away from our Ruby monolith to a brand-new microservice architecture.,HIR●,50,16,7,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
honeybook.com,EST○,,measured absent across full description text of 1 postings,HIR○,1,1,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
jobnimbus.com,EST○,,measured absent across full description text of 6 postings,HIR○,6,5,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
joinblvd.com,EST●,2025-11-07,"Modernize legacy monolithic applications using modern architectures such as domain-driven design, event-driven design, clean architecture, and CQRS",HIR○,2,2,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
kenect.com,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
kyriba.com,EST○,,measured absent across full description text of 20 postings,HIR●,20,16,7,MDB?,MongoDB named only as a candidate requirement / nice-to-have - not estate,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
mambu.com,EST○,,measured absent across full description text of 14 postings,HIR●,14,14,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
medius.com,EST○,,measured absent across full description text of 12 postings,HIR●,12,12,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
