domain,company,tier,tier_confidence,score_75,score_ceiling,unretrieved_signals,evidence_tier,est_mark,est_retrieval,est_window,est_sentence,est_pain_postings_12m,est_pain_postings_alltime,postings_searched,requisitions_searched,hir_mark,hir_retrieval,hir_window,mdb_mark,mdb_retrieval,mrg_mark,mrg_retrieval,ver_gate,age_gate,scl_gate,acc_gate,cohort,founded_year,employees,ownership_type,latest_round,total_funding,hq,industry,source_islands,notes
agicap.com,Agicap,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_C | 47774859 | 2024-11-12) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2016,798,PRIVATELY_HELD,SERIES_C | 47774859 | 2024-11-12,166666630,"Lyon, Auvergne-rhône-alpes, 57-59, Rue de Saint-Cyr, Lyon, Auvergne-rhône-alpes, France, Europe",software development,c1-fresh-pull-56,
alan.com,Alan,3,FIRM - all four signals retrieved,15.0,75.0,,"B - estate measured, no qualifying sentence",EST○,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02,,,,,,HIR●,"roster hand-read, pre-pull",2026-09-02..2026-09-02 (n=6 postings in repo),MDB○,MongoDB enrichment: no evidence string,MRG○,"funding stage only (series_f) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC◐,A — hiring trigger,2016,1542,VC/private,series_f,1356900000,"Paris, France",Insurance,cost-test-9;roster-31;w1-corrections,"named estate pain in an open req; live infra hiring · est_sentence is empty and est_retrieval reads 'roster hand-read pre-pull'. Alan is NOT in the 44-domain EST pull. Ran w2 pinned 9-term list against Alan's full P9 posting text (24714 chars, 2026-09-02): zero hits."
amberstudent.com,Amber,3,PROVISIONAL - ceiling 60,20.0,60.0,MDB,"B - estate measured, no qualifying sentence",EST?,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 0 postings / 0 requisitions searched,,0,0,0,0,HIR?,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 0 postings / 0 requisitions searched,MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND,VER?,AGE?,SCL?,ACC?,,2016,942,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND,21000000,"London, United Kingdom, Europe",MARKETPLACE,consolidation-19,
arbitersports.com,Arbiter,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (DEBT_FINANCING | 2020-02-24) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,1984,384,PRIVATELY_HELD,DEBT_FINANCING | 2020-02-24,0,"Sandy, Utah, 9815 S Monroe St, Suite 204, Sandy, Utah, United States, North America",software development,c1-fresh-pull-56,
arisglobal.com,ArisGlobal,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",20.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND | 2019-07-01,VER?,AGE?,SCL?,ACC?,,1987,2023,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND | 2019-07-01,,"Waltham, Massachusetts, 201 Jones Rd, Waltham, Massachusetts, United States, North America",software development,c1-fresh-pull-56,
backmarket.com,Back Market,3,FIRM - all four signals retrieved,25.0,75.0,,"B - estate measured, no qualifying sentence",EST⊘,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 19 postings / 8 requisitions searched,"[monolith/legacy] ""neering work with clear KPIs Identify, assess, track and mitigate issues and risks at multiple levels Examples of projects you could / will manage: Monolith migration towards microservices Evolving our API Gateway Insure our new Authentication service is covering all the engineering needs Launch of our As"" || [monolith/legacy] ""Strong experience on public cloud providers (AWS / GCP) Broad knowledge &amp; understanding of Unix environment Strong K8s fluency Experience in both Monolithic &amp; SOA/Microservices environments Soft skills : Capacity to communicate with all profiles of ICs and various levels of management Feeling like a""",0,2,19,8,HIR●,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 19 postings / 8 requisitions searched,MDB○,MongoDB enrichment: no evidence string,MRG◐,"funding stage only (SERIES_E) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC●,"D — watchlist, no trigger",2014,995,,SERIES_E,1023349031,"Paris, Île-de-france",,roster-31,firmographics only — no trigger · **`EST⊘` stale — estate language exists but predates the 12-month window**
birchstreetsystems.com,BirchStreet,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",20.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND | 2022-01-27,VER?,AGE?,SCL?,ACC?,,2002,421,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND | 2022-01-27,1268376,"Las Vegas, Nevada, 304 S Jones Blvd, Las Vegas, Nevada, United States, North America",software development,c1-fresh-pull-56,
blockchain.com,Blockchain.com,3,FIRM - all four signals retrieved,25.0,75.0,,"B - estate measured, no qualifying sentence",EST⊘,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 64 postings / 43 requisitions searched,"[reliability/toil] ""designing and implementing changes. We are a team that places a high value on abstract thinking to deliver exceptionally effective tooling. We abhor toil. As a member of the Core team you will be tasked with developing an in-depth understanding of the infrastructure needs of our products. You will est"" || [reliability/toil] ""designing and implementing changes. We are a team that places a high value on abstract thinking to deliver exceptionally effective tooling. We abhor toil. As a member of the Core team you will be tasked with developing an in-depth understanding of the infrastructure needs of our products. You wil""",0,4,64,43,HIR●,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 64 postings / 43 requisitions searched,MDB○,MongoDB enrichment: no evidence string,MRG◐,"funding stage only (SERIES_E) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC◐,"D — watchlist, no trigger",2011,1178,,SERIES_E,600000000,"London, London",,roster-31,firmographics only — no trigger · **`EST⊘` stale — estate language exists but predates the 12-month window**
bondora.group,Bondora,REVIEW,"REVIEW BUCKET - an unresolved gate, not a score (ceiling 40)",15.0,40.0,MRG;MDB,"B - estate measured, no qualifying sentence",EST○,w1 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-01,,,,,,HIR●,w1 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-01,MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,,,,,,,,w1-corrections-review,"2008, 224 emp, Estonia, P2P lending marketplace. Funding stage returned 'Public' while ownership returned 'private', total funding blank. Blank = UNKNOWN not FAIL. Full P9 posting text 6105 chars, zero pinned terms, dated 2026-09-01, names Databricks. Costs 1 web-research credit to settle ownership."
cabify.com,Cabify,3,FIRM - all four signals retrieved,15.0,75.0,,"B - estate measured, no qualifying sentence",EST⊘,w1 correction 2026-09-04 - 0926-est-hir-results-44-dated.csv,12 months to 2026-09-03,,0,3,27,23,HIR●,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 27 postings / 23 requisitions searched,MDB?,job-posting database mentions: Elasticsearch;Mysql,MRG?,"funding stage only (DEBT_FINANCING) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2011,4510,PRIVATELY_HELD,DEBT_FINANCING,599591919,"Madrid, Spain, Europe",LOGISTICS/MOBILITY,consolidation-19;w1-corrections,Dated re-run retired the match: pain language predates the 12-month window
